Time,IRIP_X,IRIP_Y,IP_X,IP_Y,IP_Z,IRCP_X,IRCP_Y,CP_X,CP_Y,CP_Z,OE_A,OE_B,OE_G,TLV_X,TLV_Y,TLV_Z,TAV_X,TAV_Y,TAV_Z
21.03,46.75250646302465,476.4076603071127,-8.177290196373308,-8.573398062655466,1.0,287.10084308172276,500.97408402472706,1.1930153248234985,-9.531153373283704,1.1322764806417647,2.5291695836649744e-06,2.0251624890603754e-07,0.13332515851849702,0.029420331705901588,-0.0012476303338523243,2.5943424891297407e-05,1.5553125173016824e-05,5.750300520185218e-06,0.020119628711166657
0.0,281.6035707685326,501.80993739870064,0.9786967161221298,-9.563740249462017,1.0,287.1108366886148,500.97561858706337,1.1934049391272845,-9.531213200275374,1.1322759790032064,5.918244593731931e-07,9.369083689562745e-07,0.13375880555444628,0.01155212302996482,-0.0035718110337528363,-1.5191627502764343e-05,-0.00018921476731837024,6.727405016186858e-05,0.019472321805768345
0.0,281.6035707685326,501.80993739870064,0.9786967161221298,-9.563740249462017,1.0,287.11394045811824,500.976520700153,1.1935259437862882,-9.531248370376336,1.1322743228106946,3.171711831824281e-06,2.5748575800933663e-06,0.13394842102476762,0.002410749584664886,-6.1407989808296e-05,-5.704660118033566e-05,0.00019835975097841756,5.3687985001436674e-05,0.001184437334988075
0.0,281.6035707685326,501.80993739870064,0.9786967161221298,-9.563740249462017,1.0,287.1142725144896,500.97651572551075,1.1935388894537835,-9.531248176433168,1.1322733043284854,4.944112979198863e-06,1.4906853436548393e-06,0.13395134011202164,-0.00015407236826411581,-3.694965202661875e-05,-1.0816418199449797e-05,8.761325254284486e-05,-0.00010465732381731779,8.684168302711131e-07
0.0,281.6035707685326,501.80993739870064,0.9786967161221298,-9.563740249462017,1.0,287.11413748187465,500.97653709426334,1.1935336250243527,-9.531249009522938,1.1322729823356485,5.704712800167055e-06,3.321878651045432e-07,0.13395159603270437,-0.00022658081812132773,-3.21189676154635e-05,1.1263417115370652e-05,4.5210541072188866e-05,-6.925437635986696e-05,1.3803704081737875e-05
0.0,281.6035707685326,501.80993739870064,0.9786967161221298,-9.563740249462017,1.0,287.11406255950084,500.97654746220013,1.1935307040741063,-9.531249413731,1.1322728989058075,5.98465353316159e-06,-1.6074274466391707e-07,0.13395187005261175,-6.17216438176285e-05,-8.186453648953308e-06,1.7290908085779846e-05,2.5320409452827216e-05,-4.57211704803219e-05,7.824250362952497e-06
0.0,281.6035707685326,501.80993739870064,0.9786967161221298,-9.563740249462017,1.0,287.114052941371,500.97654876458404,1.1935303290982846,-9.5312494645062,1.1322728789550272,6.075328472649349e-06,-3.3021667937800727e-07,0.1339520103824216,2.7073095455138195e-05,3.874664904944369e-06,1.878538422214883e-05,1.8074134916279788e-05,-3.630758267814352e-05,2.0732713270662875e-06
0.0,281.6035707685326,501.80993739870064,0.9786967161221298,-9.563740249462017,1.0,287.1140722526843,500.9765461827479,1.1935310819759954,-9.53124936384982,1.1322728745753923,6.10225416396872e-06,-3.820726007080424e-07,0.1339520687078774,6.063065891451383e-05,8.36648413422798e-06,1.9126681028938067e-05,1.5756422841524967e-05,-3.316993716748257e-05,-6.2865583331856e-07
0.0,281.6035707685326,501.80993739870064,0.9786967161221298,-9.563740249462017,1.0,287.1141017022363,500.9765422503632,1.1935322301066797,-9.531249210540476,1.1322728737137637,6.1097600001549775e-06,-3.9669155821680563e-07,0.1339520929446528,7.150053433068372e-05,9.817252885327209e-06,1.9196709928395652e-05,1.5077565168210066e-05,-3.2229779870998555e-05,-1.634137165304481e-06
0.0,281.6035707685326,501.80993739870064,0.9786967161221298,-9.563740249462017,1.0,287.11413429368014,500.97653789981723,1.1935335007282701,-9.531249040928547,1.132272873569442,6.111775220545972e-06,-4.0053992786565545e-07,0.1339521052841536,7.469870159647031e-05,1.0245396956859479e-05,1.9208533873807263e-05,1.4894088250443872e-05,-3.19694156890365e-05,-1.9657664363145826e-06
